"Species","Limb_Width","Limb_Length","Observer","Volume"
"<<<<<<< HEAD",NA,NA,"",NA
"Species B",11.640710309938,31.1132509043689,"Haha",3311.26726471739
"Species E",10.3537157006204,33.947670433535,"Haha",2858.19812534755
"Species B",9.05835004414715,27.4376006616165,"Haha",1768.21149974183
"Species B",9.2770226874716,30.7359728129388,"Hoho",2077.56242555336
"Species C",10.9484614748842,29.6037970041025,"Haha",2787.04183637359
"Species A",10.2901714433121,25.870489017445,"Hehe",2151.4920245708
"Species B",8.17330178390052,31.3615532028101,"Haha",1645.44175600448
"Species E",8.81028170599005,38.8946692468949,"Haha",2371.1528700161
"Species A",10.487304680078,24.6075394373606,"Hehe",2125.62104899017
"Species E",10.4375274724761,29.9315763276882,"Hehe",2561.03040101257
"Species C",9.08880630045553,28.0943119468424,"Haha",1822.72847170081
"Species E",11.0330784024492,30.3085849246436,"Hehe",2897.67017113334
"Species A",10.9339967967915,31.1723064696376,"Hehe",2926.95943372098
"Species A",10.3942883584638,32.4214138114797,"Hoho",2751.13151844993
"Species C",9.67002380556517,34.936828343224,"Hehe",2565.83333929193
"Species A",9.83240693182851,27.8585598357022,"Haha",2115.28179428851
"Species C",10.1892643459377,20.7053767522882,"Haha",1688.33521000369
"Species B",8.57848997292806,39.046956251237,"Hoho",2256.82956819753
"Species A",10.6099136137001,27.059811743368,"Hehe",2392.42508807133
"Species C",11.3153988978601,30.6410177596187,"Hehe",3081.29163623246
"Species B",8.6476153872688,31.5615530122669,"Hoho",1853.70652010235
"Species C",9.67072882990387,34.5036060896566,"Hehe",2534.38611073222
"Species B",9.20456377095697,25.843752660115,"Hehe",1719.6967843856
"Species D",9.8991945063485,19.573354924293,"Hehe",1506.45050708705
"Species B",10.8616208682681,35.5783108620498,"Hehe",3296.58657415614
"Species E",11.0102636472682,31.2360612748082,"Hehe",2974.00424807902
"Species E",9.85995301933684,27.953447859023,"Hehe",2134.39578833353
"Species C",8.77337403338406,32.2159677051126,"Hoho",1947.57572371553
"Species E",9.12425900617827,25.0996247089511,"Hehe",1641.16527436526
"Species D",9.86826936101098,30.3220747659921,"Haha",2319.16039751487
"Species E",9.2750391089865,35.0746529877855,"Hehe",2369.81674275734
"Species B",8.93699161092368,30.1030186058954,"Haha",1888.35059275805
"Species D",10.4107938313255,23.6705862601496,"Hoho",2014.96073669097
"Species A",9.6625363177179,25.8520617102672,"Hoho",1895.6901078902
"Species A",9.50618342009024,28.4829954580138,"Hoho",2021.56598416052
"Species E",9.39909866974305,32.3798662938216,"Hehe",2246.65998376768
"Species C",10.1787352039747,31.2432631340494,"Haha",2542.34158276799
"Species B",8.19715853636032,32.1110835275129,"Haha",1694.61681265174
"Species B",9.8097904330165,28.9519546510606,"Haha",2188.20109217701
"Species E",9.67703472091994,18.900369891326,"Haha",1390.09596780208
"Species E",10.9099168054985,34.0840581641372,"Hoho",3186.28087515032
"Species B",10.8241677933629,31.9339307252549,"Hehe",2938.53787082677
"Species A",12.5091040890381,32.6072871549917,"Hehe",4007.3471114221
"Species E",11.8764952694812,27.4514466795467,"Haha",3041.10712055795
"Species A",11.0813624138706,22.6530900557447,"Hehe",2184.75956867798
"Species D",9.47347070409931,28.5833671907613,"Hoho",2014.7515690459
"Species A",10.2994016544356,36.9183362446629,"Hehe",3075.78512558679
"Species B",9.0943229098709,28.2502847866445,"Haha",1835.07345339444
"Species C",9.09802006810343,23.7595574392111,"Haha",1544.62126380812
"Species C",10.4085024449814,24.2136616698193,"Hehe",2060.28285430042
"Species B",10.9420378319181,21.7863519561142,"Haha",2048.66440012645
"Species B",7.56702239119727,27.7966738314361,"Hoho",1250.06544565541
"Species C",10.4124576727789,27.5826699962147,"Hehe",2348.7277708706
"Species A",9.31199830257325,28.8297187622783,"Hoho",1963.43289792059
"Species E",10.1368442025716,27.0112178722169,"Hehe",2179.91515519483
"Species D",9.47544298559755,27.5435019453409,"Haha",1942.2632084531
"Species D",9.5192594917086,31.9318093038132,"Haha",2272.58292750235
"Species C",10.0661263143181,22.2658856088394,"Hoho",1771.96282586639
"Species A",11.0426807954173,41.9210162275592,"Hoho",4014.86290705029
"Species C",8.91017597818594,27.8162286795755,"Haha",1734.44563814518
"Species C",10.2138195562609,39.9127945380593,"Hoho",3270.23061492604
"Species E",9.94037139472888,29.2843384414,"Hehe",2272.63934228711
"Species E",8.7202537019809,32.6963153679231,"Haha",1952.75129943151
"Species E",11.2185426461336,29.3650549784908,"Haha",2902.64274213081
"Species D",9.61324368052129,38.0577479481704,"Hoho",2762.31288445884
"Species D",10.4069586934876,29.7943752645763,"Hoho",2534.38054696587
"Species E",8.65723707415657,31.0567469645621,"Hoho",1828.11901629505
"Species D",11.4055042050751,22.289943983203,"Hehe",2277.33980097372
"Species B",11.426742043123,35.126031612954,"Hoho",3602.16677335642
"Species A",10.8943732549073,25.0536832695043,"Haha",2335.42521807688
"Species C",10.9595256864665,25.8982096110223,"Hehe",2443.11067139032
"Species E",10.5441505653181,29.9998223581191,"Haha",2619.58057935617
"Species E",9.73085021442508,33.5327587033683,"Hehe",2493.79494542205
"Species B",11.2088990743296,27.8954279641077,"Haha",2752.63626672125
"Species D",12.4795728777112,33.4336898290596,"Haha",4089.53221437396
"Species B",10.1496301781536,19.1895519314375,"Hoho",1552.58416323146
"Species D",10.2746533593679,38.3899094257204,"Hoho",3183.03435791729
"Species B",12.0780065848643,25.4284409278025,"Haha",2913.40015454575
"Species B",9.65146794546675,28.7856372123084,"Haha",2105.9714256528
"Species A",9.46811893566759,25.747411959321,"Hehe",1812.80409138746
"Species C",7.33924836239729,30.5330362273317,"Hoho",1291.70411638287
"Species D",9.10330019217195,39.3131705062499,"Haha",2558.7371816904
"Species D",7.40962513852601,33.3298792513429,"Hoho",1437.19631768557
"Species D",11.5989033142955,30.1759462717584,"Hoho",3188.48689041861
"Species D",9.06038329307605,39.6643113678793,"Hehe",2557.30743461483
"Species B",10.0390324193615,26.5012944094279,"Hoho",2097.68697511614
"Species E",9.41753720669362,32.8500508093759,"Haha",2288.23495906745
"Species C",9.83998454583128,30.9353341797075,"Hoho",2352.5210923049
"Species A",9.30968917814942,26.6451869663997,"Hoho",1813.75664386641
"Species E",10.0545666144377,31.1633514975267,"Hoho",2474.347834902
"Species A",9.59596125479583,25.4448691408957,"Hehe",1840.20867885127
"Species A",10.697546475686,29.4711995736576,"Hoho",2648.84202884133
"Species E",9.79311048667432,33.9882598869994,"Hoho",2560.1188086969
"Species A",10.5657671773082,29.1838383995152,"Hehe",2558.78835893114
"Species E",9.83925026897982,35.6757917828995,"Haha",2712.61098773826
"Species B",12.036285804527,36.3094630466743,"Hehe",4131.37570346585
"Species C",9.60187944596025,38.9774054328042,"Hehe",2822.37882967824
"Species D",10.5268901518294,23.5231078945584,"Hehe",2047.31545139908
"Species D",12.0259778124586,28.9411321928674,"Hoho",3287.35188850809
"Species C",10.4037807549186,30.2906678298234,"Hehe",2575.02300184569
"=======",NA,NA,"",NA
"Species D",11.1370651378296,30.4258375351418,"Hoho",2963.97095000808
"Species C",10.6542192296044,27.3545498632945,"Haha",2438.72433421383
"Species B",8.70980755457597,27.3420190622928,"Haha",1629.0618812209
"Species B",9.5250506934642,34.8575643140708,"Hoho",2483.82795197802
"Species E",9.48357487396103,23.0538335613374,"Hehe",1628.46035275982
"Species B",12.0264327952905,29.1913669951028,"Hehe",3316.02634148456
"Species A",11.700221967472,24.6249060235059,"Haha",2647.60178352032
"Species D",9.79281771587397,24.7171003598371,"Hehe",1861.67018511226
"Species C",8.78891042301372,31.3512120142622,"Hehe",1902.01655483872
"Species D",9.69743297232774,31.7529601257815,"Haha",2345.24204947325
"Species E",8.13232155457122,26.8692328346535,"Haha",1395.64265069991
"Species C",12.0940016709638,29.9066413955024,"Hehe",3435.56028074732
"Species E",8.80103279019239,35.0427748844784,"Haha",2131.84511268015
"Species E",9.66661781961361,33.8096458069711,"Hoho",2481.30185196491
"Species C",9.72626310506771,29.212781904667,"Hoho",2170.47518400374
"Species E",10.8363196493617,28.6846445531125,"Haha",2645.47077855029
"Species A",9.58537927106043,21.0541914527941,"Hoho",1519.31229479031
"Species D",10.8940328032197,24.9588085764217,"Hehe",2326.43588872865
"Species C",9.03324900098015,25.9374780290032,"Hehe",1662.28540188232
"Species D",10.4722223793593,29.0317392675916,"Haha",2500.57939431653
"Species E",8.5132371295877,35.7570437425911,"Hehe",2035.35865430291
"Species E",7.93696355891695,40.3269392190479,"Haha",1995.23435767678
"Species C",10.3379290259909,32.349878674208,"Haha",2715.37384237601
"Species A",8.94312598550647,30.4235003990829,"Hoho",1911.07512566859
"Species E",9.08883833290577,31.0432750586505,"Hoho",2014.06819486389
"Species B",9.02341672383033,36.1666022323739,"Haha",2312.8082101713
"Species E",9.81220820976549,27.4613479503981,"Hoho",2076.56362646356
"Species E",10.483045030492,25.2241975765614,"Hehe",2177.11887758033
"Species A",8.77237851491833,32.7711203787444,"Hehe",1980.6872035548
"Species C",10.5870327462822,34.7753362521767,"Hehe",3061.32707233073
"Species B",11.313358948525,22.2090467170262,"Hehe",2232.55893478928
"Species A",11.4861687055615,33.1194474925335,"Haha",3431.81087468868
"Species A",9.45660328448015,27.5956747528213,"Hehe",1938.21182793049
"Species B",9.38404411166581,37.6137527892497,"Haha",2601.45686055243
"Species E",10.2033418869483,24.3733153900724,"Haha",1992.9177147532
"Species E",10.9198945446691,24.8005344255735,"Hehe",2322.67159908546
"Species B",11.7625236406795,35.216269782783,"Hoho",3826.78666733663
"Species D",8.3856080723697,31.822577501936,"Haha",1757.49603978169
"Species A",10.6874157066492,27.7695419968292,"Haha",2491.17365911124
"Species D",11.2042173296782,33.2293922641328,"Hoho",3276.2371340446
"Species A",10.8262358388521,28.2882727554537,"Haha",2604.06175497885
"Species C",8.6626562537632,22.8282762396197,"Haha",1345.4425654468
"Species B",7.94863930833202,28.6458308381263,"Haha",1421.4673362829
"Species A",9.58572773925966,25.1422940001811,"Haha",1814.4498169405
"Species A",9.5956927834545,28.0368919334916,"Hoho",2027.55395155955
"Species B",9.46773979500704,28.8273739544721,"Hehe",2029.49315268606
"Species D",9.50872843693157,31.3496037131624,"Haha",2226.21356912785
"Species C",9.78678897880749,38.9318906198037,"Hoho",2928.70631982962
"Species C",9.49593575023822,31.0730472716712,"Haha",2200.64131470657
"Species D",9.9246674029432,27.1579453213904,"Hehe",2100.96449918565
"Species E",11.7014947032995,44.1670144556521,"Hehe",4749.74840401431
"Species D",10.3906678218757,30.2420062397472,"Hoho",2564.40964886958
"Species E",10.6152684583042,26.0414793514376,"Haha",2304.7164249067
"Species D",9.03107062094908,23.1971585019739,"Haha",1485.94641344379
"Species A",10.0141306678351,29.3683142462978,"Hehe",2313.10532163299
"Species A",10.1723340483747,26.0499867074749,"Hoho",2117.08655646781
"Species E",10.1052831139481,24.8299687974924,"Haha",1991.4207405463
"Species D",10.4323109802802,28.8776752975514,"Hoho",2468.38648249267
"Species C",8.54294366032206,31.485447938173,"Hehe",1804.74082324652
"Species B",9.88097555603081,26.7611596113112,"Haha",2052.08081194583
"Species A",8.89324011352339,34.1996319990371,"Haha",2124.37582574733
"Species E",9.77943265024547,36.7123112425856,"Hehe",2757.58512780445
"Species C",9.75672066710653,30.0086244972721,"Haha",2243.59112471667
"Species D",8.88545912380789,21.9400402535211,"Hehe",1360.46398079788
"Species D",8.69472151314604,29.902232408748,"Haha",1775.4352846693
"Species D",9.10730608102888,32.2734394177784,"Hoho",2102.39830594975
"Species B",9.77074289717185,34.8555875406507,"Hehe",2613.46964599809
"Species C",11.5529650701888,32.6134928664053,"Haha",3418.80330905611
"Species D",11.0368860512913,26.9267049161935,"Haha",2576.1207153749
"Species D",10.8337951554538,22.2500333220389,"Hoho",2051.07615888814
"Species C",8.56181817256712,27.6216807227057,"Hehe",1590.27409060657
"Species A",8.91904006595053,39.0434498968359,"Hehe",2439.3510026361
"Species A",8.7559255639026,32.1448421179923,"Hehe",1935.55403542142
"Species C",10.7408351113757,30.6526749935559,"Hoho",2777.37396993889
"Species D",10.2689105276576,31.6412204345768,"Hehe",2620.54636178232
"Species B",8.79431724031773,29.9730853702373,"Hoho",1820.64632173644
"Species C",10.065037602589,33.1084615420406,"Hoho",2634.26635820201
"Species B",10.4259915508739,22.1872388375756,"Haha",1894.20891850981
"Species C",9.18235803507196,28.7184340057875,"Haha",1901.77476800452
"Species B",10.508384860187,31.9833825140654,"Haha",2773.87070281001
"Species B",8.58709153960416,32.1229877807877,"Hoho",1860.36430900557
"Species A",9.25683503240758,29.7067335242812,"Haha",1999.26254688217
"Species B",10.1942811772078,29.8415788201552,"Hehe",2435.70615736585
"Species D",11.9665617512357,31.1775150416487,"Haha",3506.47019130079
"Species E",10.1144878545105,18.1162816603007,"Hoho",1455.61572971147
"Species E",8.40690540975418,32.0096175612618,"Hoho",1776.81695080192
"Species B",8.18600291632137,34.5084758385566,"Hoho",1816.18234384694
"Species A",11.1719505788096,27.2258622725228,"Hehe",2668.88300572999
"Species B",12.2686979393443,34.3472828655582,"Hehe",4060.49720826752
"Species A",11.8094955410974,25.0404082028769,"Hehe",2742.79897675131
"Species D",9.84088510385416,24.9147968740066,"Hoho",1895.02766596875
"Species B",8.51882510164746,27.8305270673937,"Haha",1586.24664478314
"Species B",10.6360974374796,31.0899306674798,"Haha",2762.32166371394
"Species B",8.78226199057477,29.9427486332384,"Hehe",1813.82057215539
"Species D",11.072740667305,20.3153223002916,"Hoho",1956.24774880509
"Species A",9.84666497652828,34.5186132963116,"Haha",2628.58209573698
"Species C",11.124534822016,32.7542180726592,"Hehe",3183.61716140355
"Species D",11.6601094726341,30.4546134491736,"Hehe",3251.98271556591
"Species E",9.89721721028823,27.7407398951303,"Haha",2134.1951320924
"Species E",9.81235232203033,36.8487551982689,"Hoho",2786.49950280477
">>>>>>> 07ae5197fe6bba80ec287b5f6767c3013aff3cb3",NA,NA,"",NA
